area,M_ed_ratio_2534,M_ed_ratio_3544,M_ed_ratio_4564,Fm_ed_ratio_2534,Fm_ed_ratio_3544,Fm_ed_ratio_4564
Adams,2.80,2.73,2.33,4.88,5.88,4.34
Allegheny,16.26,13.58,9.23,18.05,18.21,10.96
Armstrong,3.57,5.81,2.63,7.81,10.00,3.11
Beaver,5.89,8.53,5.93,9.14,13.89,8.56
Bedford,2.48,3.25,1.78,3.03,4.48,2.72
Berks,2.53,2.36,2.31,3.51,3.59,3.48
Blair,3.24,4.73,3.33,6.10,11.05,4.57
Bradford,2.50,2.39,2.11,4.48,5.44,3.52
Bucks,8.89,9.05,9.24,13.36,17.44,12.73
Butler,10.29,12.15,8.00,24.63,22.09,10.00
Cambria,4.65,4.31,4.21,9.88,12.07,5.20
Cameron,4.79,8.70,3.80,10.00,2.76,1.81
Carbon,2.25,3.64,2.17,5.23,10.37,4.14
Centre,8.76,7.40,9.54,13.03,15.97,8.29
Chester,5.30,8.22,9.47,12.12,12.16,13.01
Clarion,3.90,2.50,2.87,5.89,7.09,3.68
Clearfield,1.74,1.19,1.72,4.10,6.82,3.54
Clinton,2.01,2.87,2.43,5.37,3.27,3.48
Columbia,4.18,2.55,2.99,7.25,12.54,4.39
Crawford,2.04,2.40,2.47,3.76,7.01,3.65
Cumberland,4.95,6.72,5.16,10.31,11.30,7.00
Dauphin,3.35,4.49,3.72,5.38,5.62,4.77
Delaware,5.81,6.53,6.14,11.37,11.99,8.01
Elk,5.87,5.80,5.43,26.70,13.20,7.03
Erie,5.09,4.23,3.92,5.88,8.10,5.47
Fayette,2.51,2.28,1.98,4.90,5.09,2.98
Forest,0.07,0.18,0.91,13.00,2.83,3.65
Franklin,2.42,2.06,1.73,3.82,5.30,3.09
Fulton,2.35,2.38,1.28,6.74,3.41,2.11
Greene,1.79,1.34,1.91,7.34,4.82,2.76
Huntingdon,1.44,1.39,1.78,5.75,8.80,4.50
Indiana,3.18,3.05,3.40,4.89,6.65,4.85
Jefferson,2.19,5.61,2.47,3.57,6.09,3.96
Juniata,1.54,0.59,1.36,2.18,1.71,2.25
Lackawanna,4.32,4.09,4.12,5.95,6.50,5.11
Lancaster,1.87,2.43,2.37,3.10,3.72,2.80
Lawrence,4.50,4.45,2.95,5.77,7.27,4.96
Lebanon,1.48,2.36,2.09,3.21,4.68,2.94
Lehigh,3.41,4.28,3.65,5.97,5.57,4.82
Luzerne,3.24,2.90,3.59,5.64,5.93,4.52
Lycoming,3.30,4.08,2.79,4.74,7.52,4.27
McKean,2.86,2.18,2.88,3.67,3.72,4.04
Mercer,2.59,3.47,3.28,4.98,6.66,4.39
Mifflin,1.20,1.66,1.01,3.47,2.64,1.23
Monroe,2.65,3.61,2.89,8.81,7.12,4.72
Montgomery,9.74,11.84,10.57,23.33,23.56,15.00
Montour,5.28,4.90,4.48,7.31,19.11,3.08
Northampton,6.78,4.96,4.46,14.03,9.85,6.54
Northumberland,1.50,2.07,1.61,3.66,6.20,2.54
Perry,2.36,2.62,1.79,5.62,7.52,3.04
Philadelphia,3.60,1.92,1.24,5.42,2.76,1.59
Pike,3.83,3.58,3.18,8.95,11.46,4.43
Potter,4.01,8.52,2.14,4.91,13.30,2.29
Schuylkill,2.28,1.84,2.06,6.24,7.48,3.12
Snyder,1.48,1.51,1.70,2.39,2.80,2.02
Somerset,2.02,1.91,2.04,4.49,4.27,3.56
Sullivan,2.43,2.38,2.02,7.27,36.67,5.35
Susquehanna,1.99,1.83,1.80,5.25,6.30,3.79
Tioga,2.88,3.27,2.31,4.94,15.00,4.68
Union,1.03,1.22,2.01,3.75,6.03,3.73
Venango,2.67,4.34,2.40,6.08,5.56,3.03
Warren,3.37,3.61,3.67,5.83,7.71,5.97
Washington,5.29,7.20,5.54,14.56,11.33,7.90
Wayne,1.79,1.86,2.20,17.93,5.55,5.73
Westmoreland,7.30,9.85,6.73,12.61,18.81,10.68
Wyoming,3.39,3.54,3.16,8.39,14.34,5.14
York,3.17,3.50,2.96,5.97,6.62,4.14
